Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
09/04/2022,P9459778,9,5,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,4
10/04/2022,P9459778,9,7,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,2
01/04/2022,1719861,22,11,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,11
02/04/2022,1719861,22,13,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,9
03/04/2022,1719861,19,7,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,12
04/04/2022,1719861,29,17,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,12
05/04/2022,1719861,21,8,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,13
06/04/2022,1719861,19,10,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,9
07/04/2022,1719861,19,10,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,9
08/04/2022,1719861,18,8,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,10
09/04/2022,1719861,19,12,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,7
10/04/2022,1719861,27,14,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,13
01/04/2022,1722621,9,4,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,5
02/04/2022,1722621,9,3,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,6
03/04/2022,1722621,9,7,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,2
04/04/2022,1722621,9,6,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,3
05/04/2022,1722621,9,3,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,6
06/04/2022,1722621,9,4,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,5
07/04/2022,1722621,11,13,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,-2
08/04/2022,1722621,9,3,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,6
09/04/2022,1722621,9,3,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,6
10/04/2022,1722621,9,4,0," 47 Maze Hill, London SE10 8XQ, UK",4.48E+13,DMA - ZRIVSE04,51.48174495,0.002500825,5
01/04/2022,1722038,8,13,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-5
02/04/2022,1722038,9,12,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-3
03/04/2022,1722038,7,15,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-8
04/04/2022,1722038,6,13,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-7
05/04/2022,1722038,7,18,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-11
06/04/2022,1722038,8,15,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-7
07/04/2022,1722038,12,16,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-4
08/04/2022,1722038,8,12,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-4
09/04/2022,1722038,7,13,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-6
10/04/2022,1722038,7,18,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-11
01/04/2022,1719994,10,21,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-11
02/04/2022,1719994,10,16,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-6
03/04/2022,1719994,11,21,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-10
04/04/2022,1719994,10,15,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-5
05/04/2022,1719994,10,14,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-4
06/04/2022,1719994,11,16,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-5
07/04/2022,1719994,12,15,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-3
08/04/2022,1719994,11,12,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-1
09/04/2022,1719994,10,13,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-3
10/04/2022,1719994,15,23,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.48E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-8
01/04/2022,1721018,21,10,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,11
02/04/2022,1721018,21,11,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,10
03/04/2022,1721018,22,11,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,11
04/04/2022,1721018,17,12,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,5
05/04/2022,1721018,14,13,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,1
06/04/2022,1721018,15,10,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,5
07/04/2022,1721018,28,10,1," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,18
08/04/2022,1721018,23,5,1," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,18
09/04/2022,1721018,23,9,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,14
10/04/2022,1721018,22,12,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.48E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,10
01/04/2022,1712022,20,17,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,3
03/04/2022,1712022,20,9,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,11
04/04/2022,1712022,20,9,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,11
05/04/2022,1712022,18,7,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,11
06/04/2022,1712022,20,10,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,10
07/04/2022,1712022,26,8,1," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,18
08/04/2022,1712022,21,11,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,10
09/04/2022,1712022,22,11,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,11
10/04/2022,1712022,20,10,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.48E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,10
01/04/2022,1712003 ANG,12,12,0," 10 Franklin Pl, London SE13 7ES, UK",4.47E+13,DMA - ZRIVSE02,51.4722234,-0.018269867,0
02/04/2022,1712003 ANG,12,3,0," 10 Franklin Pl, London SE13 7ES, UK",4.47E+13,DMA - ZRIVSE02,51.4722234,-0.018269867,9
03/04/2022,1712003 ANG,13,8,0," 10 Franklin Pl, London SE13 7ES, UK",4.47E+13,DMA - ZRIVSE02,51.4722234,-0.018269867,5
