Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
20/04/2022,1722798,9,2,0," 18 Highbridge Wharf, London SE10 9PS, UK",4.47925E+13,DMA - ZRIVSE04,51.48517967,-0.002626877,7
20/04/2022,1715783,8,3,0," 10 Rodmere St, Greenwich, London SE10 9EF, UK",4.47452E+13,DMA - ZRIVSE04,51.48480647,0.007696766,5
20/04/2022,1715283,19,13,0," 27 Blackwall Ln, Greenwich, London SE10 0AN, UK",4.47452E+13,DMA - ZRIVSE04,51.4877806,0.007486269,6
20/04/2022,7293907,8,3,0," 53 Banning St, London SE10 0TA, UK",4.47452E+13,DMA - ZRIVSE04,51.48759286,0.002825653,5
20/04/2022,1712621,26,6,1," 94 Greenwich High Rd, Greenwich, London SE10 8JE, UK",4.47452E+13,DMA - ZRIVSE03,51.47659299,-0.016866736,20
20/04/2022,1722196,31,3,1,"266 Lewisham Rd, London SE13 7LB, UK",8.8236E+14,DMA - ZRIVSE02,51.4673563,-0.011795685,28
20/04/2022,1722743,19,7,0," 1 Orlop St, London SE10 9AB, UK",4.47452E+13,DMA - ZRIVSE04,51.48490931,0.003049086,12
20/04/2022,1721573,13,11,0," 18 Braddyll St, Greenwich, London SE10 9AE, UK",4.47452E+13,DMA - ZRIVSE04,51.48584164,0.001956436,2
20/04/2022,1720867,8,3,0," 3 Trenchard St, London SE10 9PA, UK",4.47452E+13,DMA - ZRIVSE04,51.48401333,-0.000307179,5
20/04/2022,1720863,7,3,0," 61 Hoskins St, London SE10 9PB, UK",4.47925E+13,DMA - ZRIVSE04,51.48535297,-0.000342139,4
20/04/2022,1721857,29,6,1," Manilla Walk, London SE10 0UT, UK",4.47452E+13,DMA - ZRIVSE04,51.48951331,0.004648313,23
20/04/2022,1722432,17,25,0," 2 Greenwich Park St, London SE10 9AA, UK",4.47924E+13,DMA - ZRIVSE04,51.48424184,-0.000840162,-8
20/04/2022,7190257,9,13,0," Trafalgar Rd, London SE10 9PR, UK",4.47452E+13,DMA - ZRIVSE04,51.48506321,0.004100529,-4
20/04/2022,1722080,11,7,0," 122 Old Woolwich Rd, Greenwich, London SE10 9PR, UK",4.47452E+13,DMA - ZRIVSE04,51.4851012,0.001975826,4
20/04/2022,7045946,8,6,0," 14 Banning St, London SE10 9PH, UK",4.47452E+13,DMA - ZRIVSE04,51.48612083,0.001510646,2
20/04/2022,7190374,11,3,0," 49 Banning St, London SE10, UK",4.47452E+13,DMA - ZRIVSE04,51.48711298,0.002369878,8
20/04/2022,1715772,23,6,1," 79 Mauritius Rd, Greenwich, London SE10 0EH, UK",4.47925E+13,DMA - ZRIVSE04,51.48918883,0.007776059,17
20/04/2022,1721346,14,5,0," 95 Old Woolwich Rd, Greenwich, London SE10 9PP, UK",4.47452E+13,DMA - ZRIVSE04,51.48520392,0.003491225,9
20/04/2022,1722095,26,5,1," 18 Pelton Rd, London SE10 9PQ, UK",4.47452E+13,DMA - ZRIVSE04,51.48667705,0.002273934,21
20/04/2022,7621730,22,6,1," 28 Hadrian St, London SE10 9AQ",4.47452E+13,DMA - ZRIVSE04,51.48596736,0.003231592,16
20/04/2022,7045094,23,9,0,115 Trafalgar Rd_ Greenwich SE10 9TX,4.47452E+13,DMA - ZRIVSE04,51.48430401,0.001789648,14
20/04/2022,7044754,38,7,1," 13 Kossuth St, Greenwich, London SE10 0AA, UK",4.47452E+13,DMA - ZRIVSE04,51.48723696,0.003400382,31
20/04/2022,1721889,10,5,0," 16 Trafalgar Rd, London SE10 9NQ, UK",4.47624E+13,DMA - ZRIVSE04,51.48316755,-0.001705252,5
20/04/2022,1721074,18,5,0," 38 Tom Smith Cl, London SE10 9XJ, UK",4.47452E+13,DMA - ZRIVSE04,51.48238383,0.003013218,13
20/04/2022,1722580,13,9,0," Maze Hill, London SE10 9UH, UK",4.47925E+13,DMA - ZRIVSE04,51.48370106,0.00097107,4
20/04/2022,1722114,9,17,0," 64 Greenwich S St, London SE10 8UU, UK",4.47925E+13,DMA - ZRIVSE03,51.47439864,-0.013963245,-8
